judge_or_treatment,pair_set,n_pairs,decision_disagreement_pct,ci95_low,ci95_high,note,source
Opus-4.8 policy-aware gate,wide pairs (task-success gap >= 0.1),211,0.9,,,,Table 9 / Appendix F.1
Opus-4.8 policy-aware gate,near-equal pairs (gap < 0.1),87,31.0,11.6,50.0,base-model cluster bootstrap,Table 9 / Appendix F.1
GPT-5.4 gate,near-equal pairs,87,29.9,,,,Appendix F.1
GPT-5.5 gate,near-equal pairs,87,39.1,,,,Appendix F.1
pooled gate,near-equal pairs,87,37.9,,,,Appendix F.1
satisfaction-only LLM proxy,near-equal pairs,87,29.9,,,,Appendix F.1
four-judge average,near-equal pairs,87,31.0,,,27 of 87; the judges flip the same pairs,Appendix F.1
calibrated abstention,near-equal pairs it still ranks,,14.8,,,abstains on 31 to 49 percent of near-equal pairs,Appendix G
