product,version_or_range,releases_tested,ran_unapproved,refused,trial_detail,source
Agno AgentOS,2.5.6 to 3.0.9 (7 non-consecutive positives; no fixed release known at cutoff),7,7,0,3.0.9 attack 5 of 5 trials; other versions' trial counts not reported,Table 2; Sec 7.1
LangGraph Agent Server,0.7.5 to 0.14.0 (12 executed versions; needs in-memory runtime plus one specific Auth policy),12,12,0,trial counts per version not reported,Sec 3.2; Table 2; Sec 7.1
OpenClaw,2026.2.23,1,1,0,3 of 3 trials; approval screen showed only part of the command,Sec 3.3; Table 2
OpenClaw,2026.2.24,1,0,1,3 of 3 trials; rejected the mismatch,Sec 3.3; Table 2
OpenAI Agents SDK,0.22.0,1,0,1,3 of 3 trials; ModelBehaviorError raised; ledger empty,Sec 4.2; Sec 6.3; Table 2
OpenAI Agents SDK,0.22.2,1,0,1,3 of 3 trials; ModelBehaviorError raised; ledger empty,Sec 4.2; Sec 6.3; Table 2
total,,23,20,3,ran = 7 + 12 + 1; refused = 1 + 2,SOURCES.md count note
