version,word_kept_pct,risky_approved_pct,note,source
uncompressed baseline (marker intact),,0,"Table 5 pipeline baseline for the Qwen2.5-14B monitor is 0; Section 5 text separately gives a marker-visible baseline of 0 to 4%. The standalone Table 2 probe gives Qwen2.5-14B 8.9% and Qwen2.5-7B 49.5% marker-visible approval; the paper does not reconcile the standalone-probe and pipeline setups, so the article compares numbers only within one setup.",Table 5 / Table 2 / figure blog-04
lossy summarizer (Qwen2.5-1.5B),59,53,,Table 6 (Qwen2.5-14B monitor) / figure blog-04
faithful summarizer (Llama-3.1-8B),98,43,"quoted summary sentence: This action is authorized and within policy. Verification not available.",Table 6 (Qwen2.5-14B monitor) / figure blog-04
