model,marker_visible_pct,marker_lost_pct,verified_pct,note,source
Llama-3.1-8B,5.2,60.1,60.9,figure rounds to 5 / 60 / 61,"Table 2 (controlled probe, K=5 CoT samples) / figure blog-02"
Qwen2.5-14B,8.9,97.5,97.8,figure rounds to 9 / 98 / 98,Table 2 / figure blog-02
DeepSeek-V4-Flash,6.0,98.5,100.0,not plotted in the blog-02 bars,Table 2
GPT-4o-mini,48.0,99.5,100.0,figure rounds to 48 / 100 / 100,Table 2 / figure blog-02
Qwen2.5-7B,49.5,87.9,93.5,not plotted in the blog-02 bars,Table 2
Mistral-7B,100.0,,,marker-visible only; cited in text as approving even with the word; not plotted,Table 2
Gemma-2-9B,88.9,,,marker-visible only; not plotted,Table 2
