task,confidence_pct_shown,accuracy_pct_shown,confidence_pct_precise,accuracy_pct_precise,bin_n,note,source
2 step word problems,30,32,30,32,,,Archer Hume probing / figure blog-04
3 digit multiplication,83,87,83,86.7,,figure rounds 86.7 to 87,Archer Hume probing / figure blog-04
knowledge quiz (MMLU confidence bin),99,96,98.7,96.3,990,figure rounds 98.7 to 99 and 96.3 to 96; bin is 990 of 1200 sampled MMLU items in the 0.9-1.0 confidence bin; overall ECE across the sample 0.0313,Archer Hume probing / figure blog-04
