lever,effect,unit,ci_low,ci_high,source
risk slider one level up,0.425,x leverage per level,,,Sec. 4.1
agent fixed effects,60,pct of leverage variance absorbed,,,Sec. 4.1
leaderboard render cut rank 3 vs rank 4,1.75,x selection ratio (RDD),1.49,2.06,Sec. 4.2
rendered symbols share of entries,46.5,pct vs 8.9 random baseline,43.4,49.7,Sec. 4.2
forced liquidation-distance statement,45.0,pct of entry turns that stated it and sized identically,,,Sec. 5.3
liquidation rate staters vs non-staters,5.8,pct vs 1.2 pct,,,Sec. 5.3
