stage,count,source
protein clusters in the database (50% identity representatives),1939242578,Methods (Metagenomic sequence database); Fig. 1B
RT clusters after filtering (recognized as reverse transcriptases),198290,Methods (RT census); Fig. 1B
candidate partner families recurring beside sampled RT loci,3564,Results; Fig. 1B; Methods (Scoring of partner families)
families promoted to a deep dive (16 plus 1 from a follow-up),17,Results; Fig. 1B
reports handed to human reviewers (16 for the 17 families plus 3 new RT lineages),19,Results
